Results of timing exercises on the Alliant FX/8.
Note: all times are in seconds.
The Columns are the number of processors.
The Rows are the length of the fragments, and the length of the probes.

1000bp Sequence

		1	2	4	8

10f,6p		.6333	.4667	.2667	.1833
100f		.2500	.1500	.1000	.0833

10f,8p		6.6667	3.8833	2.5333	1.6833
100f		1.000	.7333	.4000	.2833


10,000bp Sequence

		1	2	4	8

10f,6p		5.7667	3.9833	2.4000	1.6500
100f		2.4667	1.5167	.9667	.6833
1000f		1.9500	1.2000	.7833	.6000

100f,8p		8.9333	5.1333	3.2333	2.2167
1000f		3.1500	1.9167	1.1667	.8500


100,000bp Sequence

		1	2	4	8

100f,6p		23.7500	13.8333	8.8333	6.4167
1000f		20.5833	12.0500	7.7333	5.6333
10,000f		18.9833	11.4833	7.4000	5.8000

1000f,8p	31.2667	17.6500	11.0167	7.6167
10,000f		24.2833	14.4500	8.8667	6.6500
